CourseID	DecimalGrade	Academic Year
BUSN 135	3.3	1990 - 1991
BUSN 135	4	1990 - 1991
BUSN 210	3	1990 - 1991
BUSN 135	2.6	1990 - 1991
BUSN 210	3.4	1990 - 1991
BUSN 210	3.2	1990 - 1991
BUSN 135	3.6	1990 - 1991
BUSN 135	1.5	1990 - 1991
BUSN 135	4	1990 - 1991
BUSN 135	3.6	1990 - 1991
BUSN 135	0.8	1990 - 1991
BUSN 210	3.1	1990 - 1991
BUSN 210	3.1	1990 - 1991
BUSN 135	3.1	1990 - 1991
BUSN 210	3.5	1990 - 1991
BUSN 210	2	1990 - 1991
BUSN 135	2.5	1990 - 1991
BUSN 210	4	1990 - 1991
BUSN 210	2.8	1990 - 1991
BUSN 135	4	1990 - 1991
BUSN 210	4	1990 - 1991
BUSN 210	3.2	1990 - 1991
BUSN 135	3.1	1990 - 1991
BUSN 210	3	1990 - 1991
BUSN 210	2.1	1990 - 1991
BUSN 210	3.7	1990 - 1991
BUSN 210	4	1990 - 1991
BUSN 135	2.3	1990 - 1991
BUSN 210	3	1990 - 1991
BUSN 210	3	1990 - 1991
BUSN 135	3.4	1990 - 1991
BUSN 135	3.3	1990 - 1991
BUSN 210	1.8	1990 - 1991
BUSN 135	1.5	1990 - 1991
BUSN 210	3.2	1990 - 1991
BUSN 135	3.9	1990 - 1991
BUSN 135	4	1990 - 1991
BUSN 135	2.9	1990 - 1991
BUSN 135	3.4	1990 - 1991
BUSN 135	4	1990 - 1991
BUSN 210	3.7	1990 - 1991
BUSN 210	4	1990 - 1991
BUSN 210	4	1990 - 1991
BUSN 135	3.9	1990 - 1991
BUSN 135	2.3	1990 - 1991
BUSN 210	3.7	1990 - 1991
BUSN 210	3.2	1990 - 1991
BUSN 210	1.1	1990 - 1991
BUSN 210	4	1990 - 1991
BUSN 210	3.2	1990 - 1991
BUSN 135	3	1990 - 1991
BUSN 210	2	1990 - 1991
BUSN 210	4	1990 - 1991
BUSN 135	2.2	1990 - 1991
BUSN 210	3.8	1990 - 1991
BUSN 135	0	1990 - 1991
BUSN 135	3	1990 - 1991
BUSN 210	3.4	1990 - 1991
BUSN 135	2.8	1990 - 1991
BUSN 210	3.3	1990 - 1991
BUSN 210	1.2	1990 - 1991
BUSN 210	3.7	1990 - 1991
BUSN 135	3.7	1990 - 1991
BUSN 210	2.5	1990 - 1991
BUSN 135	3.9	1990 - 1991
BUSN 210	4	1990 - 1991
BUSN 135	3.9	1990 - 1991
BUSN 210	2.5	1990 - 1991
BUSN 210	2.6	1990 - 1991
BUSN 210	3.7	1990 - 1991
BUSN 210	3.7	1990 - 1991
BUSN 135	0	1990 - 1991
BUSN 210	3.9	1990 - 1991
BUSN 135	1.7	1990 - 1991
BUSN 135	3	1990 - 1991
BUSN 135	3.2	1990 - 1991
BUSN 135	3.5	1990 - 1991
BUSN 135	1.1	1990 - 1991
BUSN 135	3.8	1990 - 1991
BUSN 135	2.5	1990 - 1991
BUSN 135	0	1990 - 1991
BUSN 210	3	1990 - 1991
BUSN 135	1.2	1990 - 1991
BUSN 210	2.9	1990 - 1991
BUSN 210	3.4	1990 - 1991
BUSN 135	1.8	1990 - 1991
BUSN 135	3.5	1990 - 1991
BUSN 135	3	1990 - 1991
BUSN 135	0	1990 - 1991
BUSN 210	3	1990 - 1991
BUSN 210	3.9	1990 - 1991
BUSN 210	3.7	1990 - 1991
BUSN 135	3.8	1990 - 1991
BUSN 210	3.9	1990 - 1991
BUSN 210	2	1990 - 1991
BUSN 135	3.8	1990 - 1991
BUSN 210	3.7	1990 - 1991
BUSN 135	3.4	1990 - 1991
BUSN 135	2.9	1990 - 1991
BUSN 135	2.6	1990 - 1991
BUSN 135	4	1990 - 1991
BUSN 210	3.6	1990 - 1991
BUSN 210	3.5	1990 - 1991
BUSN 210	2.6	1990 - 1991
BUSN 210	3.8	1990 - 1991
BUSN 135	3.9	1990 - 1991
BUSN 135	3	1990 - 1991
BUSN 210	3.7	1990 - 1991
BUSN 210	3.7	1990 - 1991
BUSN 135	3.7	1990 - 1991
BUSN 210	4	1990 - 1991
BUSN 210	2.8	1990 - 1991
BUSN 210	3.6	1990 - 1991
BUSN 210	1.4	1990 - 1991
BUSN 210	3.2	1990 - 1991
BUSN 135	3.2	1990 - 1991
BUSN 135	4	1990 - 1991
BUSN 210	2	1990 - 1991
BUSN 210	3.4	1990 - 1991
BUSN 135	3.6	1990 - 1991
BUSN 210	3.1	1990 - 1991
BUSN 135	0	1990 - 1991
BUSN 210	2.4	1990 - 1991
BUSN 135	2.9	1990 - 1991
BUSN 135	2.9	1990 - 1991
BUSN 210	3	1990 - 1991
BUSN 210	3.6	1990 - 1991
BUSN 135	2.6	1990 - 1991
BUSN 135	2.7	1990 - 1991
BUSN 210	2	1990 - 1991
BUSN 135	3.9	1990 - 1991
BUSN 210	3.6	1990 - 1991
BUSN 210	3.3	1990 - 1991
BUSN 210	2	1990 - 1991
BUSN 210	2	1990 - 1991
BUSN 210	3.6	1990 - 1991
BUSN 135	2.8	1990 - 1991
BUSN 210	4	1990 - 1991
BUSN 210	2.6	1990 - 1991
BUSN 135	0	1990 - 1991
BUSN 210	0	1990 - 1991
BUSN 210	3.5	1990 - 1991
BUSN 210	3.6	1990 - 1991
BUSN 135	2.4	1990 - 1991
BUSN 210	3.3	1990 - 1991
BUSN 210	3.6	1990 - 1991
BUSN 210	2.6	1990 - 1991
BUSN 135	3.6	1990 - 1991
BUSN 210	3	1990 - 1991
BUSN 210	3.8	1990 - 1991
BUSN 135	2.1	1990 - 1991
BUSN 135	3.7	1990 - 1991
BUSN 135	2.8	1990 - 1991
BUSN 210	3.9	1990 - 1991
BUSN 210	3.9	1990 - 1991
BUSN 210	3.8	1990 - 1991
BUSN 135	0.8	1990 - 1991
BUSN 135	4	1990 - 1991
BUSN 210	3.5	1990 - 1991
BUSN 210	3.1	1990 - 1991
BUSN 210	3.7	1990 - 1991
BUSN 210	2.9	1990 - 1991
BUSN 210	3	1990 - 1991
BUSN 210	2.3	1990 - 1991
BUSN 210	3.6	1990 - 1991
BUSN 135	3.3	1990 - 1991
BUSN 135	3.2	1990 - 1991
BUSN 210	4	1990 - 1991
BUSN 210	4	1990 - 1991
BUSN 210	3	1990 - 1991
BUSN 210	3.1	1990 - 1991
BUSN 210	3.5	1990 - 1991
BUSN 135	1.8	1990 - 1991
BUSN 210	3.6	1990 - 1991
BUSN 135	4	1990 - 1991
BUSN 135	2.3	1990 - 1991
BUSN 210	3.1	1990 - 1991
BUSN 210	3.2	1990 - 1991
BUSN 210	3	1990 - 1991
BUSN 210	2.2	1990 - 1991
BUSN 210	2.1	1990 - 1991
BUSN 210	3.5	1990 - 1991
BUSN 210	4	1990 - 1991
BUSN 210	3.3	1990 - 1991
BUSN 210	3.3	1990 - 1991
BUSN 210	3.1	1990 - 1991
BUSN 210	2.6	1990 - 1991
BUSN 135	3.9	1990 - 1991
BUSN 210	3.2	1990 - 1991
BUSN 135	3.6	1990 - 1991
BUSN 210	3.2	1990 - 1991
BUSN 210	2.6	1990 - 1991
BUSN 210	3.5	1990 - 1991
BUSN 210	3.5	1990 - 1991
BUSN 135	4	1990 - 1991
BUSN 210	2.8	1990 - 1991
BUSN 135	2.4	1990 - 1991
BUSN 135	3.6	1990 - 1991
BUSN 135	4	1990 - 1991
BUSN 135	4	1990 - 1991
BUSN 210	4	1990 - 1991
BUSN 210	3.1	1990 - 1991
BUSN 210	4	1990 - 1991
BUSN 210	3	1990 - 1991
BUSN 210	1.4	1990 - 1991
BUSN 210	3.2	1990 - 1991
BUSN 210	3.6	1990 - 1991
BUSN 210	3	1990 - 1991
BUSN 210	2.4	1990 - 1991
BUSN 210	3.5	1990 - 1991
BUSN 210	3.5	1990 - 1991
BUSN 210	3	1990 - 1991
BUSN 210	3.4	1990 - 1991
BUSN 210	3	1990 - 1991
BUSN 135	2.9	1990 - 1991
BUSN 210	2	1990 - 1991
BUSN 210	3.2	1990 - 1991
BUSN 135	0.9	1990 - 1991
BUSN 210	3.1	1990 - 1991
BUSN 210	2.1	1990 - 1991
BUSN 210	2.2	1990 - 1991
BUSN 210	3.5	1990 - 1991
BUSN 210	3	1990 - 1991
BUSN 135	2.5	1990 - 1991
BUSN 210	3.6	1990 - 1991
BUSN 210	3	1990 - 1991
BUSN 210	3.8	1990 - 1991
BUSN 135	2	1990 - 1991
BUSN 210	3.4	1990 - 1991
BUSN 210	3.4	1990 - 1991
BUSN 210	2.6	1990 - 1991
BUSN 135	4	1990 - 1991
BUSN 210	2.1	1990 - 1991
BUSN 210	3.3	1990 - 1991
BUSN 210	3.4	1990 - 1991
BUSN 210	1.1	1990 - 1991
BUSN 210	1.4	1990 - 1991
BUSN 135	3.8	1990 - 1991
BUSN 135	2.1	1990 - 1991
BUSN 210	4	1990 - 1991
BUSN 210	3.3	1990 - 1991
BUSN 210	3.5	1990 - 1991
BUSN 210	3.6	1990 - 1991
BUSN 210	3.5	1990 - 1991
BUSN 210	2.5	1990 - 1991
BUSN 210	4	1990 - 1991
BUSN 210	3.3	1990 - 1991
BUSN 135	2	1990 - 1991
BUSN 210	3.3	1990 - 1991
BUSN 210	2.3	1990 - 1991
BUSN 210	3.8	1990 - 1991
BUSN 210	3.4	1990 - 1991
BUSN 135	4	1990 - 1991
BUSN 135	3.2	1990 - 1991
BUSN 210	3.9	1990 - 1991
BUSN 210	4	1990 - 1991
BUSN 210	2.5	1990 - 1991
BUSN 210	2.1	1990 - 1991
BUSN 210	3.3	1990 - 1991
BUSN 135	2.7	1990 - 1991
BUSN 135	1.7	1990 - 1991
BUSN 210	2.8	1990 - 1991
BUSN 210	3.6	1990 - 1991
BUSN 210	1	1990 - 1991
BUSN 135	1.3	1990 - 1991
BUSN 210	4	1990 - 1991
BUSN 210	3.1	1990 - 1991
BUSN 210	2.8	1990 - 1991
BUSN 135	2.8	1990 - 1991
BUSN 210	2.1	1990 - 1991
BUSN 210	2.9	1990 - 1991
BUSN 135	2	1990 - 1991
BUSN 210	4	1990 - 1991
BUSN 210	3	1990 - 1991
BUSN 210	2.5	1990 - 1991
BUSN 210	3.7	1990 - 1991
BUSN 135	2.9	1990 - 1991
BUSN 135	2.6	1990 - 1991
BUSN 210	3.7	1990 - 1991
BUSN 135	2.6	1990 - 1991
BUSN 135	1.7	1990 - 1991
BUSN 210	3.1	1990 - 1991
BUSN 210	2.8	1990 - 1991
BUSN 210	3.9	1990 - 1991
BUSN 210	3.2	1990 - 1991
BUSN 210	3.6	1990 - 1991
BUSN 210	2	1990 - 1991
BUSN 210	2.1	1990 - 1991
BUSN 135	2.4	1990 - 1991
BUSN 135	2.3	1990 - 1991
BUSN 135	4	1990 - 1991
BUSN 210	0.7	1990 - 1991
BUSN 210	2.9	1990 - 1991
BUSN 135	2	1990 - 1991
BUSN 135	3.2	1990 - 1991
BUSN 210	3.6	1990 - 1991
BUSN 210	2.7	1990 - 1991
BUSN 135	2.7	1990 - 1991
BUSN 210	2.3	1990 - 1991
BUSN 210	4	1990 - 1991
BUSN 210	3	1990 - 1991
BUSN 210	3	1990 - 1991
BUSN 135	1.9	1990 - 1991
BUSN 135	4	1990 - 1991
BUSN 135	3	1991 - 1992
BUSN 210	3.5	1991 - 1992
BUSN 210	3.1	1991 - 1992
BUSN 210	2.3	1991 - 1992
BUSN 210	3	1991 - 1992
BUSN 210	2.8	1991 - 1992
BUSN 135	4	1991 - 1992
BUSN 210	2.6	1991 - 1992
BUSN 135	3.8	1991 - 1992
BUSN 210	1.7	1991 - 1992
BUSN 210	3.8	1991 - 1992
BUSN 135	3.4	1991 - 1992
BUSN 210	2.6	1991 - 1992
BUSN 210	3.2	1991 - 1992
BUSN 135	2	1991 - 1992
BUSN 210	3	1991 - 1992
BUSN 210	3.6	1991 - 1992
BUSN 210	2.3	1991 - 1992
BUSN 210	3.2	1991 - 1992
BUSN 210	3	1991 - 1992
BUSN 210	3.7	1991 - 1992
BUSN 210	2.7	1991 - 1992
BUSN 135	1.9	1991 - 1992
BUSN 135	1.9	1991 - 1992
BUSN 135	4	1991 - 1992
BUSN 135	3.4	1991 - 1992
BUSN 210	3	1991 - 1992
BUSN 210	2.5	1991 - 1992
BUSN 210	3.8	1991 - 1992
BUSN 135	2.7	1991 - 1992
BUSN 135	3.6	1991 - 1992
BUSN 210	3	1991 - 1992
BUSN 210	3.4	1991 - 1992
BUSN 210	3.5	1991 - 1992
BUSN 210	3.2	1991 - 1992
BUSN 210	2.5	1991 - 1992
BUSN 210	2	1991 - 1992
BUSN 135	3.6	1991 - 1992
BUSN 135	2.1	1991 - 1992
BUSN 210	3.8	1991 - 1992
BUSN 210	2.7	1991 - 1992
BUSN 210	3.7	1991 - 1992
BUSN 135	2.7	1991 - 1992
BUSN 210	2	1991 - 1992
BUSN 210	3.8	1991 - 1992
BUSN 210	2.7	1991 - 1992
BUSN 210	3.5	1991 - 1992
BUSN 210	3.8	1991 - 1992
BUSN 135	2.5	1991 - 1992
BUSN 210	2.1	1991 - 1992
BUSN 210	3.3	1991 - 1992
BUSN 210	3.5	1991 - 1992
BUSN 135	3.8	1991 - 1992
BUSN 210	1.5	1991 - 1992
BUSN 135	2.8	1991 - 1992
BUSN 210	4	1991 - 1992
BUSN 210	3.3	1991 - 1992
BUSN 135	3.2	1991 - 1992
BUSN 135	2	1991 - 1992
BUSN 135	3.7	1991 - 1992
BUSN 210	3.7	1991 - 1992
BUSN 135	2.8	1991 - 1992
BUSN 210	3.4	1991 - 1992
BUSN 210	3.5	1991 - 1992
BUSN 210	2.5	1991 - 1992
BUSN 210	1.5	1991 - 1992
BUSN 210	3	1991 - 1992
BUSN 135	0	1991 - 1992
BUSN 210	1	1991 - 1992
BUSN 210	4	1991 - 1992
BUSN 210	2.8	1991 - 1992
BUSN 210	4	1991 - 1992
BUSN 135	3	1991 - 1992
BUSN 135	4	1991 - 1992
BUSN 135	3.9	1991 - 1992
BUSN 135	2.6	1991 - 1992
BUSN 135	2.8	1991 - 1992
BUSN 135	3	1991 - 1992
BUSN 210	4	1991 - 1992
BUSN 210	0.7	1991 - 1992
BUSN 135	2.8	1991 - 1992
BUSN 135	3.5	1991 - 1992
BUSN 210	0.8	1991 - 1992
BUSN 210	3.5	1991 - 1992
BUSN 210	2.6	1991 - 1992
BUSN 210	1.3	1991 - 1992
BUSN 210	2	1991 - 1992
BUSN 135	3.2	1991 - 1992
BUSN 135	0	1991 - 1992
BUSN 210	2.5	1991 - 1992
BUSN 210	3.3	1991 - 1992
BUSN 210	0.9	1991 - 1992
BUSN 210	2.5	1991 - 1992
BUSN 210	3.4	1991 - 1992
BUSN 210	2.2	1991 - 1992
BUSN 135	2.3	1991 - 1992
BUSN 135	2.9	1991 - 1992
BUSN 135	2.3	1991 - 1992
BUSN 210	3.5	1991 - 1992
BUSN 135	2	1991 - 1992
BUSN 135	3.9	1991 - 1992
BUSN 210	2.2	1991 - 1992
BUSN 135	3.8	1991 - 1992
BUSN 210	2.3	1991 - 1992
BUSN 135	3.8	1991 - 1992
BUSN 210	3	1991 - 1992
BUSN 210	4	1991 - 1992
BUSN 135	0	1991 - 1992
BUSN 210	2.5	1991 - 1992
BUSN 210	2	1991 - 1992
BUSN 210	3.7	1991 - 1992
BUSN 210	2.6	1991 - 1992
BUSN 135	4	1991 - 1992
BUSN 135	3.8	1991 - 1992
BUSN 135	3.1	1991 - 1992
BUSN 210	4	1991 - 1992
BUSN 210	2.1	1991 - 1992
BUSN 210	3.6	1991 - 1992
BUSN 210	3.7	1991 - 1992
BUSN 135	2.8	1991 - 1992
BUSN 135	4	1991 - 1992
BUSN 135	2.6	1991 - 1992
BUSN 135	1.5	1991 - 1992
BUSN 135	2.6	1991 - 1992
BUSN 135	0	1991 - 1992
BUSN 210	2	1991 - 1992
BUSN 135	2.1	1991 - 1992
BUSN 135	3.2	1991 - 1992
BUSN 135	3.6	1991 - 1992
BUSN 210	3.2	1991 - 1992
BUSN 135	3.6	1991 - 1992
BUSN 135	3.6	1991 - 1992
BUSN 210	3.6	1991 - 1992
BUSN 135	3.7	1991 - 1992
BUSN 135	2.5	1991 - 1992
BUSN 210	3.5	1991 - 1992
BUSN 210	3.8	1991 - 1992
BUSN 210	3.5	1991 - 1992
BUSN 210	2.7	1991 - 1992
BUSN 135	1.3	1991 - 1992
BUSN 210	3.2	1991 - 1992
BUSN 135	3.7	1991 - 1992
BUSN 210	3	1991 - 1992
BUSN 135	3.8	1991 - 1992
BUSN 135	3.9	1991 - 1992
BUSN 210	0	1991 - 1992
BUSN 210	1.1	1991 - 1992
BUSN 210	3.6	1991 - 1992
